x0y0,x0y1,x1y0,x1y1,x2y2,x2y3,x3y2,x3y3,frame,time
"[(23, 193), (30, 169), (99, 202), (100, 177)]","[(538, 231), (541, 213), (639, 248), (639, 223)]",1554,2:09
"[(21, 181), (23, 162), (95, 198), (95, 168)]","[(535, 228), (537, 206), (638, 237), (638, 219)]",1560,2:10
"[(17, 181), (16, 158), (87, 190), (90, 169)]","[(531, 224), (530, 201), (635, 234), (635, 214)]",1566,2:10
"[(14, 182), (10, 156), (83, 187), (84, 166)]","[(523, 220), (529, 198), (629, 231), (629, 210)]",1572,2:11
"[(13, 185), (10, 165), (85, 195), (83, 172)]","[(524, 226), (528, 203), (627, 235), (626, 213)]",1578,2:11
"[(16, 187), (19, 166), (90, 194), (86, 174)]","[(526, 230), (533, 208), (631, 243), (631, 223)]",1584,2:12
"[(91, 408), (83, 386), (176, 398), (174, 377)]","[(519, 375), (519, 357), (602, 374), (602, 352)]",1590,2:12
"[(87, 404), (87, 385), (173, 394), (170, 376)]","[(515, 376), (511, 355), (599, 368), (595, 341)]",1596,2:13
"[(87, 411), (84, 384), (175, 402), (172, 379)]","[(514, 378), (515, 357), (599, 370), (598, 352)]",1602,2:13
"[(79, 415), (75, 392), (167, 405), (163, 383)]","[(508, 384), (504, 362), (6593, 375), (589, 354)]",1608,2:14
"[(74, 419), (73, 398), (163, 406), (161, 386)]","[(502, 381), (503, 361), (587, 384), (586, 356)]",1614,2:14
"[(86, 410), (82, 387), (175, 402), (173, 381)]","[(512, 377), (512, 358), (599, 367), (591, 359)]",1620,2:15
"[(12, 376), (11, 355), (122, 369), (114, 343)]","[(533, 195), (527, 173), (627, 182), (622, 166)]",1626,2:15
"[(9, 376), (8, 356), (119, 346), (115, 341)]","[(532, 196), (529, 174), (622, 184), (622, 163)]",1632,2:16
"[(23, 381), (17, 355), (129, 367), (125, 343)]","[(536, 194), (535, 171), (632, 188), (629, 163)]",1638,2:16
"[(27, 378), (29, 352), (135, 368), (134, 346)]","[(543, 195), (542, 176), (637, 184), (634, 165)]",1644,2:17
"[(35, 380), (29, 358), (139, 373), (139, 349)]","[(548, 199), (544, 179), (638, 192), (637, 170)]",1650,2:17
"[(23, 386), (20, 354), (132, 369), (128, 345)]","[(537, 198), (535, 176), (635, 186), (632, 160)]",1656,2:18
"[(115, 320), (115, 302), (196, 313), (196, 298)]","[(472, 207), (464, 182), (581, 197), (579, 179)]",1662,2:18
"[(116, 320), (116, 299), (198, 314), (197, 296)]","[(471, 205), (469, 185), (585, 200), (581, 172)]",1668,2:19
"[(111, 320), (109, 298), (194, 318), (193, 299)]","[(468, 213), (467, 186), (581, 202), (578, 178)]",1674,2:19
"[(114, 319), (111, 299), (194, 314), (195, 297)]","[(470, 211), (471, 188), (579, 203), (579, 180)]",1680,2:20
"[(110, 314), (111, 298), (195, 310), (191, 293)]","[(468, 212), (466, 187), (576, 207), (578, 170)]",1686,2:20
"[(110, 308), (111, 290), (194, 305), (195, 286)]","[(471, 205), (467, 180), (580, 198), (577, 173)]",1692,2:21
"[(79, 306), (75, 285), (171, 302), (173, 281)]","[(500, 395), (501, 376), (608, 394), (606, 371)]",1698,2:21
"[(79, 312), (75, 288), (172, 302), (172, 285)]","[(501, 396), (500, 377), (606, 394), (604, 366)]",1704,2:22
"[(85, 274), (83, 253), (179, 281), (176, 248)]","[(502, 364), (502, 345), (607, 361), (611, 338)]",1710,2:22
"[(79, 312), (75, 288), (172, 302), (172, 285)]","[(501, 396), (500, 377), (606, 394), (604, 366)]",1716,2:23
"[(98, 295), (94, 272), (189, 286), (189, 265)]","[(515, 373), (517, 352), (626, 367), (623, 346)]",1722,2:23
"[(83, 241), (83, 222), (179, 239), (175, 214)]","[(503, 329), (503, 310), (608, 322), (607, 302)]",1728,2:24
