[(210, 360), (210, 310), (435, 365), (435, 315), 0],
[(213, 370), (213, 321), (435, 375), (438, 323), 6],
[(223, 368), (226, 321), (447, 372), (445, 325), 12],
[(226, 372), (227, 322), (445, 378), (444, 330), 18],
[(217, 378), (219, 329), (439, 382), (440, 330), 24],
[(217, 376), (217, 329), (440, 382), (441, 331), 30],
[(192, 285), (205, 255), (340, 325), (345, 295), 36],
[(195, 277), (204, 246), (339, 318), (347, 288), 42],
[(191, 282), (203, 246), (334, 324), (343, 292), 48],
[(192, 282), (203, 246), (339, 322), (346, 289), 54],
[(200, 283), (211, 249), (347, 327), (355, 294), 60],
[(203, 282), (212, 250), (349, 323), (355, 293), 66],
[(285, 265), (282, 235), (408, 266), (410, 240), 72],
[(185, 343), (185, 283), (467, 374), (470, 314), 108],
[(219, 444), (217, 403), (402, 443), (403, 406), 144],
[(199, 334), (196, 291), (387, 319), (383, 278), 180],
[(272, 380), (271, 331), (510, 372), (510, 319), 216],
[(339, 179), (342, 150), (482, 186), (483, 155), 252],
[(339, 131), (344, 102), (483, 136), (487, 102), 264],
[(248, 203), (251, 168), (397, 223), (399, 191), 288],
[(115, 262), (118, 182), (481, 271), (495, 200), 324],
[(82, 226), (72, 114), (550, 202], (551, 109), 360],
[(125, 425), (125, 310), (620, 422), (620, 315), 396],
[(232, 275), (227, 230), (435, 262), (435, 218), 432],
[(125, 425), (125, 310), (520, 422), (620, 320), 468],
[(260, 360), (261, 326), (406, 378), (404, 342), 504],
[(259, 437), (256, 402), (431, 438), (431, 406), 540],
[(251, 224), (252, 190), (412, 223), (411, 190), 576],
[(226, 272), (223, 247), (343, 262), (343, 237), 612],
[(293, 348), (291, 323), (399, 342), (399, 316), 648],
[(315, 268), (315, 244), (425, 268), (425, 244), 684],
[(281, 274), (279, 224), (495, 262), (489, 213), 720],
[(217, 370), (211, 310), (423, 334), (413, 284), 756],
[(350, 284), (347, 250), (484, 274), (481, 246), 792],
[(347, 372), (343, 327), (533, 354), (527, 316), 828],
[(351, 283), (354, 253), (483, 278), (486, 244), 864],
[(88, 374), (103, 320), (319, 436), (331, 388),  900],
[(242, 316), (244, 282), (387, 318), (387, 286), 936],
[(272, 194), (273, 158), (422, 204), (426, 163), 972],
[(303, 368), (301, 339), (432, 365), (431, 334), 1008],
[(344, 261), (346, 225), (497, 254), (497, 221), 1044],
--------------------------------------------------------
[(0, 322), (0, 282), (158, 327), (155, 284), 1080],
[(223, 306), (220, 267), (406, 313), (407, 273), 1092],
[[(320, 294), (319, 255), (516, 305), (532, 269), 1104],
[(113, 316), (110, 276), (283, 313), (278, 276), 1140],
[(293, 333), (291, 292), (471, 337), (472, 298), 1152],
[(396, 318), (393, 279), (582, 322), (589, 284), 1164],
[(46, 338), (39, 302), (211, 346), (302, 207), 1182],
[(111, 345), (109, 306), (306, 351), (303, 307), 1194],
[(258, 358), (256, 310), (471, 371), (327, 473), 1206],
[(371, 358), (372, 314), (594, 361), (593, 318), 1218],
[(0, 370), (0, 332), (167, 370), (161, 330), 1248],
[(248, 361), (245, 318), (637, 490), (459, 316), 1260],
[(252, 393), (252, 348), (474, 390), (472, 346), 1266],
[(430, 382), (431, 338), (637,380), (637, 346), 1278],
[(15, 322), (15, 279), (207, 318), (201, 277), 1296],
[(255, 329), (254, 284), (454, 327), (456, 283), 1308],
[(417, 338), (412, 294), (621, 332), (612, 290), 1320],
[(0, 276), (0, 231), (203, 292), (200, 249), 1338],
[(223, 316), (222, 271), (419, 312), (421, 262), 1350],
[(158, 174), (155, 135), (328, 200), (331, 158), 1380],
[(179, 220), (179, 178), (364, 241), (367, 299), 1392],
[(399, 294), (399, 252), (602, 320), (600, 274), 1404],
[(85, 219), (79, 186), (219, 224), (217, 193), 1422],
[(243, 238), (244, 210), (392, 313), (388, 218), 1434],
[(387, 250), (388, 222), (542, 262), (545, 230), 1446],
[(46, 141), (50, 98), (214, 155), (218, 113), 1470],
[(169, 148), (171, 106), (363, 167), (366, 122), 1482],
[(531, 174), (532, 128), (639, 185), (637, 134), 1494],
[(0, 139), (0, 100), (192, 149), (101, 189), 1518],
[(235, 165), (239, 116), (449, 174), (453, 126), 1530],
[(423, 169), (430, 118), (639, 189), (639, 136), 1542]
-----------------------------------------------------
[(23, 193), (30, 169), (99, 202), (100, 177), 1554],
[(538, 231), (541, 213), (639, 248), (639, 223), 1554],
[(21, 181), (23, 162), (95, 198), (95, 168), 1560],
[(535, 228), (537, 206), (638, 237), (638, 219), 1560],
[(17, 181), (16, 158), (87, 190), (90, 169), 1566],
[(531, 224), (530, 201), (635, 234), (635, 214), 1566],
[(14, 182), (10, 156), (83, 187), (84, 166), 1572],
[(523, 220), (529, 198), (629, 231), (629, 210), 1572],
[(13, 185), (10, 165), (85, 195), (83, 172), 1578],
[(524, 226), (528, 203), (627, 235), (626, 213), 1578],
[(16, 187), (19, 166), (90, 194), (86, 174), 1584],
[(526, 230), (533, 208), (631, 243), (631, 223), 1584],
[(91, 408), (83, 386), (176, 398), (174, 377), 1590],
[(519, 375), (519, 357), (602, 374), (602, 352), 1590],
[(87, 404), (87, 385), (173, 394), (170, 376), 1596],
[(515, 376), (511, 355), (599, 368), (595, 341), 1596],
[(87, 411), (84, 384), (175, 402), (172, 379), 1602].
[(514, 378), (515, 357), (599, 370), (598, 352), 1602],
[(79, 415), (75, 392), (167, 405), (163, 383), 1608],
[(508, 384), (504, 362), (6593, 375), (589, 354), 1608],
[(74, 419), (73, 398), (163, 406), (161, 386), 1614],
[(502, 381), (503, 361), (587, 384), (586, 356), 1614],
[(86, 410), (82, 387), (175, 402), (173, 381), 1620],
[(512, 377), (512, 358), (599, 367), (591, 359), 1620],
[(12, 376), (11, 355), (122, 369), (114, 343), 1626],
[(533, 195), (527, 173), (627, 182), (622, 166), 1626],
[(9, 376), (8, 356), (119, 346), (115, 341), 1632],
[(532, 196), (529, 174), (622, 184), (622, 163), 1632],
[(23, 381), (17, 355), (129, 367), (125, 343), 1638],
[(536, 194), (535, 171), (632, 188), (629, 163), 1638],
[(27, 378), (29, 352), (135, 368), (134, 346), 1644],
[(543, 195), (542, 176), (637, 184), (634, 165), 1644],
[(35, 380), (29, 358), (139, 373), (139, 349), 1650],
[(548, 199), (544, 179), (638, 192), (637, 170), 1650],
[(23, 386), (20, 354), (132, 369), (128, 345), 1656],
[(537, 198), (535, 176), (635, 186), (632, 160), 1656],
[(115, 320), (115, 302), (196, 313), (196, 298), 1662],
[(472, 207), (464, 182), (581, 197), (579, 179), 1662],
[(116, 320), (116, 299), (198, 314), (197, 296), 1668],
[(471, 205), (469, 185), (585, 200), (581, 172), 1668],
[(111, 320), (109, 298), (194, 318), (193, 299), 1674],
[(468, 213), (467, 186), (581, 202), (578, 178), 1674],
[(114, 319), (111, 299), (194, 314), (195, 297), 1680],
[(470, 211), (471, 188), (579, 203), (579, 180), 1680],
[(110, 314), (111, 298), (195, 310), (191, 293), 1686],
[(468, 212), (466, 187), (576, 207), (578, 170), 1686],
[(110, 308), (111, 290), (194, 305), (195, 286), 1692],
[(471, 205), (467, 180), (580, 198), (577, 173), 1692],
[(79, 306), (75, 285), (171, 302), (173, 281), 1698],
[(500, 395), (501, 376), (608, 394), (606, 371), 1698],
[(79, 312), (75, 288), (172, 302), (172, 285), 1704],
[(501, 396), (500, 377), (606, 394), (604, 366), 1704],
[(85, 274), (83, 253), (179, 281), (176, 248), 1710],
[(502, 364), (502, 345), (607, 361), (611, 338), 1710],
[(79, 312), (75, 288), (172, 302), (172, 285), 1716],
[(501, 396), (500, 377), (606, 394), (604, 366), 1716],
[(98, 295), (94, 272), (189, 286), (189, 265), 1722],
[(515, 373), (517, 352), (626, 367), (623, 346), 1722],
[(83, 241), (83, 222), (179, 239), (175, 214), 1728],
[(503, 329), (503, 310), (608, 322), (607, 302), 1728],
-------------------------------------------------------
[(247, 370), (244, 338), (399, 383), (390, 346), 1734],
[(246, 373), (244, 341), (392, 378), (393, 348), 1746],
[(236, 343), (238, 334), (385, 374), (388, 339), 1764],
[(257, 298), (256, 259), (447, 292), (441, 257), 1770],
[(251, 284), (252, 242), (437, 278), (434, 242), 1782],
[(246, 290), (246, 249), (432, 284), (435, 248), 1800],
[(244, 304), (244, 270), (369, 306), (374, 276), 1806],
[(243, 298), (247, 266), (373, 302), (373, 273), 1818],
[(234, 297), (235, 261), (362, 294), (363, 267), 1836],
[(175, 352), (171, 303), (370, 343), (369, 294), 1842],
[(187, 358), (186, 306), (384, 346), (384, 301), 1854],
[(189, 356), (191, 306), (387, 344), (384, 296), 1872],
[(294, 405), (295, 358), (481, 404), (479, 357), 1878],
[(289, 410), (293, 370), (472, 409), (473, 371), 1890],
[(300, 418), (303, 375), (490, 419), (487, 378), 1908],
[(215, 283), (215, 247), (375, 275), (377, 239), 1914],
[(230, 270), (230, 231), (387, 266), (388, 234), 1926],
[(243, 278), (239, 242), (399, 284), (397, 240), 1944],
[(225, 318), (221, 282), (422, 301), (421, 262), 1950],
[(235, 322), (230, 284), (432, 299), (431, 267), 1962],
[(227, 338), (221, 302), (423, 316), (419, 279), 1980],
[(269, 272), (264, 234), (438, 272), (440, 227), 1986],
[(256, 286), (257, 245), (427, 278), (427, 242), 1998],
[(268, 266), (267, 226), (439, 260), (440, 221), 2016],
[(172, 333), (167, 290), (397, 345), (402, 310), 2022],
[(159, 341), (161, 295), (388, 350), (387, 304), 2034],
[(164, 330), (159, 291), (382, 346), (388, 299), 2052],
[(273, 309), (271, 264), (482, 304), (479, 263), 2058],
[(258, 311), (263, 263), (476, 310), (468, 264), 2070],
[(269, 315), (267, 270), (479, 310), (481, 263), 2088]
