x0y0,x0y1,x1y0,x1y1,frame,time
"(0, 322)","(0, 282)","(158, 327)","(155, 284)",1080,1:30
"(223, 306)","(220, 267)","(406, 313)","(407, 273)",1092,1:31
"(320, 294)","(319, 255)","(516, 305)","(532, 269)",1104,1:32
"(113, 316)","(110, 276)","(283, 313)","(278, 276)",1140,1:35
"(293, 333)","(291, 292)","(471, 337)","(472, 298)",1152,1:36
"(396, 318)","(393, 279)","(582, 322)","(589, 284)",1164,1:37
"(46, 338)","(39, 302)","(211, 346)","(302, 207)",1182,1:38
"(111, 345)","(109, 306)","(306, 351)","(303, 307)",1194,1:39
"(258, 358)","(256, 310)","(471, 371)","(327, 473)",1206,1:40
"(371, 358)","(372, 314)","(594, 361)","(318, 593)",1218,1:41
"(0, 370)","(0, 332)","(167, 370)","(161, 330)",1248,1:44
"(248, 361)","(245, 318)","(637, 490)","(459, 316)",1260,1:45
"(252, 393)","(252, 348)","(474, 390)","(472, 346)",1266,1:45
"(430, 382)","(431, 338)","(637, 380)","(637, 346)",1278,1:46
"(15, 322)","(15, 279)","(207, 318)","(201, 277)",1296,1:48
"(255, 329)","(254, 284)","(454, 327)","(456, 283)",1308,1:49
"(417, 338)","(412, 294)","(621, 332)","(612, 290)",1320,1:50
"(0, 276)","(0, 231)","(203, 292)","(200, 249)",1338,1:51
"(223, 316)","(222, 271)","(419, 312)","(421, 262)",1350,1:52
"(158, 174)","(155, 135)","(328, 200)","(331, 158)",1380,1:55
"(179, 220)","(179, 178)","(364, 241)","(367, 299)",1392,1:56
"(399, 294)","(399, 252)","(602, 320)","(600, 274)",1404,1:57
"(85, 219)","(79, 186)","(219, 224)","(217, 193)",1422,1:58
"(243, 238)","(244, 210)","(392, 313)","(388, 218)",1434,1:59
"(387, 250)","(388, 222)","(542, 262)","(545, 230)",1446,2:00
"(46, 141)","(50, 98)","(214, 155)","(218, 113)",1470,2:02
"(169, 148)","(105, 168)","(367, 167)","(366, 122)",1482,2:03
"(531, 174)","(532, 128)","(639, 185)","(637, 134)",1494,2:04
"(0, 139)","(0, 100)","(192, 149)","(101, 189)",1518,2:06
"(235, 165)","(239, 116)","(449, 174)","(453, 126)",1530,2:07
"(423, 169)","(430, 118)","(639, 189)","(639, 136)",1542,2:08
